  #|Befehl    |LV|Kz.|Passwort            |Anzeigetext fuer ?  |Zusaetzlicher Anzeigetext fuer H (Hilfe)        |B|S|C|A|b|1|2|3|4|5|s|c|V|Ports: (B=Batch/S=Sysop/C=CoSysop/A=Av/b=Bv/1-5=Gruppen/s=SuperUser/c=Console/V=Vereinsflag        
 --+----------+--+---+--------------------+--------------------+------------------------------------------------+-+-+-+-+-+-+-+-+-+-+-+-+-+---------------------------------------------------------------------------------------------------
001|BY        |20|***|                    |    BYE BYE (Logoff)|Die Box verlassen                           [-n]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
001|LOG       |00|***|                    |              Logoff|Box verlassen, Verbindung trennen           [-n]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
001|Q         |00|***|                    |Quit (Box verlassen)|Box verlassen, Verbindung beenden           [-n]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
002|?         |00|***|                    |           Kurzhilfe|Anzeige der Befehle (Kurform)           [befehl]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
002|EXIT      |00|***|                    |       Box verlassen|Die Box verlassen, Verbindung beenden!      [-n]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
003|H         |00|***|                    |   Hilfe zu Befehlen|Hilfe (Langform) ausgeben               [befehl]|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
003|HILFE?    |00|001|                    |Hilfe-Liste / Befehl|        Hilfe (Langform) ausgeben aber einzeilig|1|0|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
004|SORTA     |90|004|                    |     Sortiere Area's|                            Area's neu sortieren|1|0|1|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
004|SORTALL   |98|000|                    |            Sort all|                                 Alles Sortieren|1|1|0|0|0|0|0|0|0|0|0|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
004|SORTB     |98|001|                    |   Befehle sortieren|                           Befehle neu sortieren|1|1|0|0|0|0|0|0|0|0|1|0|0|JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ
