\\ec\\c\\2Befehl    |LV|Anzeigetext fuer ?  |Azeigetext fuer H                 Gateway-5
\\2----------+--+--------------------+-------------------------------------------
\\3         +|00|Lokaler Scanner vor |Scanner ueber die Bretter der Area vorwaert
\\3        ++|00|Globaler Scanner vor|Scanner ueber alle Area's vorwaerts        
\\3         -|00|Lokaler Scan zurueck|Scanner in der aktuellen Area rueckwaerts  
\\3        --|00|Glob. Scan zurueck  |Scanner ueber alle Area's rueckwaerts      
\\3      2000|00|Restzeit bis 2000   |Genau Anzeige der Restzeit bis zum Jahr 200
§%§L=>20\\3         <|20|Akt. Brett zurueck  |Um ein aktuelles Brett in der Area zurueck 
§%§L=>20\\3        <<|20|Akt. Brett zurueck  |Um ein aktuelles Brett zurueck             
§%§L=>20\\3         >|20|Akt. Brett vor      |Um ein aktuelles Brett in der Area verwaert
§%§L=>20\\3        >>|20|Akt. Brett vorwaerts|Um ein aktuelles Brett boxweit vorwaerts   
\\3         ?|00|Kurzhilfe           |Anzeige der Befehle (Kurform)           [be
\\3         A|00|Area zeigen/starten |Area's anzeigen oder aufrufen         [area
§%§L=>01\\3       ABB|01|An-/Abbestellen     |An-/Abbestellen von Brettern   [-J]/[-N] [b
§%§L=>80§%§GR_3\\3    ACCESS|80|Zweitaccount anlegen|Zweitaccount anlegen (nur fuer User)       
\\3       AGB|00|Boxordnung          |Allgemeine Geschäftsbedingungen (Boxordnung
\\3       ALL|00|Alle Bretter zeigen |Zeigt alle Bretter aus allen Area's an     
§%§L=>10\\3        AN|10|Anschrift anzeigen  |Userdaten anzeigen (nur Statistik)    [user
\\3       ANL|00|Anleitung zur Box   |Anleitung der wichtigsten Funktionen       
§%§L=>80\\3    ANLAST|80|Neue Anträge        |Anzeige des Antrags-Protokolles (Letzte 25)
§%§L=>80\\3    ANPROT|80|Useranträge gesamt  |Anzeige des Antrags-Protokolles (Alle!)    
\\3      ANSI|00|Ansi ein bzw. aus   |Ansi-Steuerung umschalten (an / aus)       
\\3       ANT|00|Userantrag stellen  |Userantrag stellen (nur fuer Gaeste)       
§%§L=>20\\3       ANZ|20|Alles anzeigen      |Zeigt alle Eintraege an                    
§%§L=>85§%§GR_3\\3    AREAED|85|Sektor-Editor       |Online-Editor fuer die Sektor-Daten        
§%§L=>20§%§AV\\3 AREAVORSP|20|Update Areavorspann |Update Areavorspann per Upload als Ansi o.A
§%§L=>20\\3   AUSLAST|20|Auslastung          |Auslastung der Ports anzeigen       [portnu
\\3         B|00|Bretter suchen      |Bretter aufrufen oder Liste zeigen   [param
§%§L=>70§%§AV\\3    BASEED|70|Basen-Editor        |Online-Editor fuer die Basen-Daten         
\\3        BE|00|Bell-Signal an/aus  |Klingel-Signal an oder ausschalten         
§%§L=>20\\3  BEFEHLE?|20|Hilfe zu Befehlen   |Hilfe Text zur Hyperraum Befehlssteuerung  
§%§L=>99§%§SYSOP§%§GR_1§%§GR_2§%§GR_3§%§GR_4§%§GR_5§%§VFLAG\\3BEFEHLSPSW|99|Kennwort-Protokoll  |Befehls-Passwort-Protokoll anzeigen  (Letze
§%§L=>20\\3      BEST|20|Best User           |Beste User der Box! (Up / Download)        
§%§L=>70§%§AV\\3   BRETTED|70|Basen-Editor        |Online-Editor fuer die Basen-Daten         
\\3    BRETTM|00|BrettMenu starten   |BrettMenu-System starten                   
§%§L=>70\\3 BRETTPFAD|70|Brettpfade anzeigen |Listet alle Brettpfade auf.                
§%§L=>20§%§BV\\3BRETTVORSP|20|Update Brettvorspann|Update Brettvorspann per Upload als Ansi o.
§%§L=>50§%§AV\\3  BRETT_PW|50|Brett-Passwortprot. |Anzeige des Brettpasswort-Protokolls       
§%§L=>20\\3       BRI|20|Brief schreiben     |Persoehnliche Mitteilung schreiben    [user
§%§L=>20\\3        BY|20|BYE BYE (Logoff)    |Die Box verlassen                          
