71
2 3 6 4 67 68 Honolulu||4 USA
1 4 20 25 66 12 San Francisco||3 USA
1 8 7 33 48 16 Los Angeles||3 USA
2 5 11 1 0 0 Portland OR||3 USA
2 6 7 11 0 0 Seattle||3 USA
1 5 7 45 46 0 Anchorage||4 USA
5 6 8 45 0 0 Helena||2 USA
3 9 12 7 10 0 Las Vegas||3 USA
8 10 11 0 0 0 Pheonix||2 USA
9 14 11 8 19 0 Albuquerque||2 USA
4 5 9 10 13 0 Boise||3 USA
8 13 16 14 42 2 Denver||2 USA
12 14 25 11 0 0 Rapid City SD||1 USA
13 12 10 0 0 0 Bismarck||1 USA
16 19 17 0 0 0 Oklahoma City||1 USA
12 17 18 15 20 3 Omaha||1 USA
16 23 26 15 0 0 Kansas City||1 USA
16 19 24 0 0 0 Topeka KS||1 USA
15 20 18 10 0 0 New Orleans||2 USA
16 19 2 24 21 25 Chicago||2 USA
20 22 24 25 0 0 Cleveland||2 USA
21 23 25 0 0 0 Indianapolis||2 USA
17 22 27 25 0 0 Des Moines||1 USA
20 21 18 27 0 0 Detroit||2 USA
22 13 21 23 20 29 Minneapolis||2 USA
17 27 28 29 30 32 Jackson MS||3 USA
26 29 23 24 30 0 Memphis||2 USA
26 27 32 31 0 0 Montgomery AL||3 USA
27 26 30 25 0 0 Little Rock AR||2 USA
29 31 32 26 27 0 Atlanta||2 USA
30 32 33 28 38 0 Charleston SC||3 USA
30 31 28 39 26 0 Richmond||3 USA
31 3 34 35 48 0 Miami||3 USA
33 35 36 37 0 0 Louisville||2 USA
33 34 36 37 0 0 Hartford||3 USA
34 35 38 39 0 0 Dover||3 USA
34 35 38 39 0 0 Portland ME||3 USA
36 37 40 41 31 0 Annapolis||3 USA
36 37 32 40 42 0 Boston||4 USA
38 39 41 42 43 0 Concord||3 USA
38 40 42 43 44 0 Atlantic City||3 USA
39 40 41 47 62 12 New York City||3 USA
40 41 45 46 0 0 Philadelphia||3 USA
40 45 46 0 0 0 Providence||3 USA
44 46 43 47 6 7 Montreal||3 Canada
44 45 43 61 6 0 Toronto||3 Canada
42 49 61 65 45 68 London||5 Great Britain
33 53 58 64 3 0 Mexico City||4 Mexico
47 50 59 65 62 0 Athens||5 Greece
49 54 52 51 0 0 Baghdad||5 Iraq
50 52 54 55 63 0 Bangkok||5 Thailand
50 54 65 51 55 0 Budapest||5 Hungary
48 58 64 0 0 0 Buenos Aires||5 Argentina
50 52 55 51 53 0 Cairo||5 Egypt
54 56 51 0 0 0 Istanbul||5 Turkey
58 57 55 60 0 0 Kathmandu||5 Nepal, Asia
56 58 60 64 0 0 Kigali||5 Rwanda, Africa
53 48 56 57 0 0 Lima||5 Peru
49 63 67 68 65 0 Moscow||5 Russia
57 66 56 67 0 0 New Delhi||5 India
47 62 46 0 0 0 Oslo||5 Norway
61 65 49 42 0 0 Paris||5 France
59 67 66 51 0 0 Peking||5 China
53 48 57 0 0 0 Rio de Janeiro||5 Brazil
52 47 49 62 59 0 Rome||5 Italy
2 67 60 63 0 0 Sydney||5 Australia
1 63 66 59 60 68 Tokyo||5 Japan
67 59 47 1 69 70 Space Station Alpha||6 Space
68 70 0 0 0 0 Space Station Beta||6 Space
69 68 0 0 0 0 Centurion Moon Base||6 Space
70 0 0 0 0 0 Mars Outpost||7 Space
