22
Knife||10 1 5 0 
Hunting Knife||20 1 6 0
Switchblade||30 1 7 0
Axe||35 1 8 0
Short Sword||50 1 9 0
Sword||95 2 5 0
Long Sword||100 2 6 0
2-Hand Sword||500 2 8 0
Pistol||1200 2 9 0
Rifle||1800 2 10 0
Shotgun||2500 1 20 0
2-Barrel Shotgun||4000 2 20 0
Semi-Automatic||10000 2 25 0
Uzi||20000 4 20 0
Ninja Sword||12000 2 20 1
Smart Blade||15000 3 15 1
Smart Gun||30000 4 25 1
Grenade Launcher||15500 3 16 1
Laser Pistol||30000 2 40 1
Laser Rifle||70000 2 60 1
Mega-Laser Rifle||150000 4 60 1
Disentegrator||250000 5 50 1
