GOMEZ ADDAMS
ALADDIN
ALICE IN WONDERLAND
BATMAN
BEETLE BAILEY
BIG BIRD
BLACKBEARD
JAMES BOND
BOOGEYMAN
PUNKY BREWSTER
CAPTAIN CAVEMAN
CHARLIE BROWN
BUCKWHEAT
BUGS BUNNY
BULLWINKLE
DAGWOOD BUMSTEAD
PAUL BUNYAN
RHETT BUTLER
CAPTAIN HOOK
CHICKEN LITTLE
CINDERELLA
CLARK KENT
THE COOKIE MONSTER
COUNT YORGA
DENNIS THE MENACE
DRACULA
NANCY DREW
DONALD DUCK
DR. WHO
FAT ALBERT
FLYING DUTCHMAN
FRED FLINTSTONE
FRANKENSTEIN
FRIAR TUCK
FROSTY THE SNOWMAN
GARFIELD
LADY GODIVA
GODZILLA
LOIS LANE
HAGAR THE HORRIBLE
HEATHCLIFF
JOHN HENRY
SHERLOCK HOLMES
ROBIN HOOD
HUCKLEBERRY FINN
HUCKLEBERRY HOUND
THE INCREDIBLE HULK
INDIANA JONES
THE INVISIBLE MAN
CASEY JONES
THE KARATE KID
KERMIT THE FROG
CAPTAIN KIRK
KING KONG
RALPH KRAMDEN
FREDDY KRUEGER
SIR LANCELOT
LITTLE ORPHAN ANNIE
LITTLE RED RIDING HOOD
RONALD MCDONALD
MICKEY MOUSE
MIGHTY MOUSE
MOTHER GOOSE
HERMAN MUNSTER
OLIVER TWIST
MR. PEANUT
PETER PAN
MISS PIGGY
PIED PIPER
PINK PANTHER
PECOS BILL
POPEYE
RIP VAN WINKLE
ROADRUNNER
ROGER RABBIT
RAINBOW BRIGHT
BARNEY RUBBLE
RUDOLPH THE RED-NOSED REINDEER
THE SANDMAN
SCOOBY DOO
EBENEZER SCROOGE
BART SIMPSON
MR. SPOCK
LUKE SKYWALKER
SLEEPING BEAUTY
PAPA SMURF
SNOOPY
SNOW WHITE
SNUFFY SMITH
SPIDERMAN
SUPERMAN
SWAMP THING
TARZAN
WILLAIM TELL
DICK TRACY
TWEETY BIRD
WEREWOLF
THE WIZARD OF OZ
THE WOLFMAN
YOGI BEAR
