ALABAMA
ALCATRAZ
AMAZON RAIN FOREST
ATLANTIS
THE BIG APPLE
BIG BEN
BOULDER DAM
BRONX ZOO
BROOKLYN BRIDGE
BUCKINGHAM PALACE
CALIFORNIA
CANARY ISLANDS
CAPE COD
CARLSBAD CAVERNS
CENTRAL PARK
CLIFFS OF DOVER
CONEY ISLAND
DEATH VALLEY
DISNEY LAND
DISNEY WORLD
EIFFLE TOWER
EMPIRE STATE BUILDING
GANGES RIVER
GEORGIA
GREAT LAKES
GOLDEN GATE BRIDGE
GRAND CANYON
GREAT PYRAMID
GREAT SPHINX
GREAT WALL OF CHINA
HARD ROCK CAFE
HOLLYWOOD
HOOVER DAM
ILLINOIS
INDIANA
JEFFERSON MEMORIAL
KENNEDY INTERNATIONAL AIRPORT
KENTUCKY
THE KREMLIN
LEANING TOWER OF PISA
LINCOLN MEMORIAL
LONDON BRIDGE
MARYLAND
MIAMI, FLORIDA
MICHIGAN
MISSISSIPPI RIVER
MONTICELLO
THE MOTOR CITY
MOUNT EVEREST
MOUNT FUJI
MOUNT ST. HELENS
MOUNT VERNON
NEW YORK
NEW YORK CITY
NIAGARA FALLS
NILE RIVER
NORTH AMERICA
NORTH CAROLINA
NORTH POLE
OLD FAITHFUL
PANAMA CANAL
PEARL HARBOR
PENNSYLVANIA
PENTAGON
PLYMOUTH ROCK
PUERTO RICO
RIO DE JANEIRO
ROCK OF GIBRALTAR
ROCKY MOUNTAINS
SAHARA DESERT
SALT LAKE CITY
SEA WORLD
SHEA STADIUM
SMITHSONIAN INSTITUTION
SMOKY MOUNTAINS
SOUTH AMERICA
SOUTH CAROLINA
STATUE OF LIBERTY
STONEHENGE
STONE MOUNTAIN, GEORGIA
TAJ MAHAL
TIMBUKTU
TIMES SQUARE
TIN PAN ALLEY
TOMB OF THE UNKNOWN SOLDIER
TOWER OF LONDON
UNITED NATIONS
UNITED STATES OF AMERICA
VATICAN CITY
VIETNAM VETERANS MEMORIAL
VIRGINIA
WALDEN POND
WALL STREET
WASHINGTON D.C.
WASHINGTON MONUMENT
WATERGATE COMPLEX
WESTMINSTER ABBEY
WEST VIRGINIA
THE WHITE HOUSE
THE WINDY CITY
YELLOWSTONE NATIONAL PARK
