50,3,3,3,3,1000000000000,3600,15,10000,10,50,10000,10,1000,Mountains,-10,Plains,0,Hills,-5,Desert,-2,Swamp,-7,Forest,-6,Field,-1,Ice Field,-11,Plateau,-1,Lava Field,-20,Abandoned City,-15,Small Farm Town,-10,Metropolis,-30,City,-25,Large Village,-20

Information:
1=Turns allowed per Day
2=Maximum times you can spy per turn
3=Maximum times you can attack an NPC per turn
4=Maximum times you can attack another Player per turn
5=Maximum times you can attack Villages per turn
6=Hall Of Fame Score Minimum
7=Time Allowed per Play/10 (3600=60 minutes)
8=Different types of terrain
9=Starting Funds
10=Starting Officers
11=Starting Troops
12=Starting Ammunition
13=Starting Grenades
14=Starting Food
15=Terrain 1
16=Terrain Modification 1
17=Terrain 2
18=Terrain Modification 2
etc.
