Shave the modern way|No brush|No lather|No rub-in|Big tube 35 cents drug stores|Burma-Shave|1927|x
Goodbye! shaving brush|Half a pound for|Half a dollar|Very fine for the skin|Druggists have it|Cheer up face the war is over|Burma-Shave|1927|x
Holler|Half a pound for|Half a dollar|Oh boy!|Shaving joy|Complexion save|Burma-Shave|1928|x
Shave the modern way|Wash the face|Apply with fingers|Shave|Big tube 35 cents|Burma-Shave|1928|x
One of the great discoveries|Goodbye! shaving brush|Old men look younger|Young men look handsomer|Very fine for the skin|Burma-Shave|1928|x
Takes the "H" out of shave|Makes it save|Saves complexion|Saves time & money|No brush no lather|Burma-Shave|1928|x
Every shaver|Now can snore|Six more minutes|Than before|By using|Burma-Shave|1929|x
Your shaving brush|Has had its day|So why not|Shave the modern way|With|Burma-Shave|1929|x
Two|Hundred|Thousand|Men|Use|Burma-Shave|1929|x
Half a pound|For|Half a dollar|Spread on thin|Above the collar|Burma-Shave|1929|x
One pound      85 cents|Half pound     50 cents|Big tube       35 cents|Don't put it off|Put it on|Burma-Shave|1930|x
Does your husband|Misbehave|Grunt and grumble|Rant and rave|Shoot the brute some|Burma-Shave|1930|x
Shaving brushes|Such a bother|Burma-Shave|Looks good|To|Father|1930|x
Early to bed|Early to rise|Was meant for those|Old fashioned guys|Who didn't use|Burma-Shave|1930|x
Be|No|Longer|Lather's slave|Treat yourself to|Burma-Shave|1930|x
Uncle Rube|Buys tube|One week|Looks sleek|Like sheik|Burma-Shave|1930|x
Tho stiff|The beard|That Nature gave|It shaves like down|With|Burma-Shave|1930|x
Shaving brushes|You'll soon see 'em|Way down east|In some|Museum|Burma-Shave|1930|x
Five|Hundred|Thousand|Men|Use|Burma-Shave|1930|x
Cheer up face|The war is past|The "h" is out|Of shave|At last|Burma-Shave|1930|x
Half a pound|For|Half a dollar|At the drug store|Simply holler|Burma-Shave|1930|x
Shaving brushes|You'll soon see 'em|On the shelf|In some|Museum|Burma-Shave|1930|x
Six|Hundred|Thousand|Men|Use|Burma-Shave|1930|x
1880 A.D.|Straight razor and|Shaving soap|1930 A.D.|Safety razor and|Burma-Shave|1930|x
