Space Fillee...|By: DragonLord on 25 Nov 1995 at 20:01:05.
Umphf..|By: DragonLord on 25 Nov 1995 at 20:01:08.
I hate it when these things are empty.|By: DragonLord on 25 Nov 1995 at 20:01:09.
Too much work. I need relief.|By: DragonLord on 25 Nov 1995 at 20:02:40.
Happy hour is almost up. Finish up.|By: DragonLord on 25 Nov 1995 at 20:04:59.
What's up?|By: CHRIS on 16 Feb 1996 at 21:40:57.
Yer gonna die!|By: CHRIS on 16 Feb 1996 at 21:41:11.
I like writing multiple things on walls..|By: CHRIS on 17 Feb 1996 at 18:59:57.
Especially things like this.|By: Chris on 16 Nov 1997 at 12:51:00.
It's no wonder I'm still alive in this game!|By: Chris on 16 Nov 1997 at 12:51:40.
